frame,x_angle,y_angle,direction
116,3.485856354694362,0.6189438869379188,Forward
117,3.6744943678576623,0.576387854380822,Forward
118,3.729246842160905,0.5963908420683172,Forward
119,3.8577444401537253,0.7323690371426388,Forward
120,3.864619403197542,0.7077162521810647,Forward
121,3.890168025536308,0.7359699425358138,Forward
122,3.81651277409365,0.721026647942317,Forward
123,3.830201000787828,0.7304116222417228,Forward
124,3.8136455492893764,0.7275908969639135,Forward
125,3.859487545675425,0.7500431942516397,Forward
126,3.753124837403887,0.7130600246210449,Forward
127,3.8692881994680537,0.7772600912426442,Forward
128,3.8140872964618766,0.7151003446320229,Forward
129,3.818063912882397,0.7869155887107666,Forward
130,3.7102462565738556,0.6261752150171007,Forward
131,3.75425692597178,0.7226697378775248,Forward
132,3.6077051365357415,0.7956573379177619,Forward
